כתובת,סוג מקלט,שם מקום,latitude,longitude
כרמלי 20,עילי,גן ילדים,32.0894198,34.8943162
עין גנים 27,תת קרקעי,עין גנים,32.088159,34.8948516
חזון איש 4,תת קרקעי,שמעוני,32.0902421,34.8949692
וולפסון 31,תת קרקעי,גורדון,32.0876433,34.8919029
שבט נפתלי בין 2 ל-4,תת קרקעי,בין 2 ל-4,32.0774899,34.9127865
צפת 28,תת קרקעי,צפת 28,32.0707099,34.9133849
שבט יששכר 18,תת קרקעי,שבט יששכר 18,32.0723885,34.9122484
טבריה 24,עילי,טבריה 24,32.0718348,34.9153545
"עד""ש שפיק 7",תת קרקעי,"בי""ס מורשה בנים",32.073702,34.9121075
צאלח שלום 33,תת קרקעי,"ביה""ס מורשה בנות",32.0748954,34.9104417
הגיתית 10,תת קרקעי,תיכון אמית בר אילן,32.0774457,34.9108194
פארק יצחק אוחיון,עילי,פארק יצחק אוחיון,32.092987,34.869232
ישראל ישעיהו 10,עילי,פינשטיין,32.0790512,34.8999432
אהבת ציון בין 9 ל-11,תת קרקעי,בין 9 ל-11,32.0775081,34.8993181
קרימינצקי 3,עילי,גן יסמין,32.0943776,34.8832987
הבנים 9,תת קרקעי,קרול,32.09545248,34.88383797
מבצע קדש 23,עילי,מבצע קדש 23,32.0968523,34.8844712
דוד רמז,עילי,"בי""ס קיבוץ גלויות",32.0885159,34.903374
עין גנים 71,תת קרקעי,"חט""ב ברנר",32.0840655,34.8984068
המגינים 23,תת קרקעי,אמיר,32.085425,34.8983366
המעפילים 3,תת קרקעי,המעפילים 3,32.082864,34.8987915
האילנות 7,עילי,"מתנ""ס עין גנים",32.0869102,34.8979454
המגינים מול 16 (מול רבינוביץ 10),תת קרקעי,מול 16 (מול רבינוביץ 10),32.0873571,34.8972659
"משעול גומס, מול בית הכנסת (בין גוש עציון 3 ל 5)",תת קרקעי,מול בית הכנסת (בין גוש עציון 3 ל 5),32.0852837,34.904232
גרוניגר בחורשה מול אחוה 109,עילי,בחורשה מול אחוה 109,32.084642,34.9054245
גרוניגר בחורשה מול אחוה 85,עילי,בחורשה מול אחוה 85,32.0853172,34.9056928
בחורשה מול בדר 7,עילי,בחורשה מול בדר 7,32.0870617,34.906508
דוד רמז 33,תת קרקעי,עמל א' (הרב תחומי),32.0858255,34.9037717
הרב אונטרמן 14,תת קרקעי,"מ""ד מעלות חיים",32.1002552,34.8980276
יונה גרין 22,תת קרקעי,יונה גרין 22,32.0985361,34.9006943
"הצפירה, בתוך המתנס שבסוף הרחוב",תת קרקעי,"הצפירה, בתוך המתנס שבסוף הרחוב",32.088751,34.8493435
בירנבוים 18 בקצה הסמטה בגן ילדים,תת קרקעי,בירנבוים 18 בקצה הסמטה בגן ילדים,32.0904445,34.848933
פקיעין 23,תת קרקעי,אונ' סינית,32.0880142,34.8520516
"רמ""א 17",עילי,גן יהלום,32.0872515,34.851315
הרצפלד 3 ,תת קרקעי,הרצפלד בין 3 ל 5 ,32.0853863691408,34.8739789842746
אנדרסן 7 (בין הבניינים),תת קרקעי,אנדרסן 7 (בין הבניינים),32.089657,34.873994
הפורצים 18,עילי ותת קרקעי,"מתנ""ס ורבר, מקלט",32.0876833,34.8768054
דובנוב 8,עילי,דובנוב 8,32.0895077,34.8768361
אנדרסן 8,תת קרקעי,אפיק,32.0899162,34.8735924
קפלן 7,עילי ותת קרקעי,"בי""ס קפלן, מקלט וממ""דים חדשים כניסה נפרדת",32.0901307,34.8696908
ברל כצנלסון פינת דורון,עילי,ברל כצנלסון פינת דורון,32.0892894,34.8758799
יוכלמן 3,תת קרקעי,יוכלמן 3,32.0987607,34.9014402
הוברמן 8,עילי,הוברמן,32.075117,34.887542
הארז 10,עילי,הארז 10,32.0707469,34.8887535
טוסקניני (בגינה בין הבתים),תת קרקעי,טוסקניני (בגינה בין הבתים),32.073711,34.88871
כץ 85,עילי,כץ 85,32.0708789,34.8911785
כץ 79,עילי,כץ 79,32.0716095,34.890164
גולומב 6,עילי,גן כרמל,32.095876576864,34.8920234616379
שיפר 43,תת קרקעי,שיפר,32.095879,34.891322
צאלח שלום 32,עילי,עמישב,32.0755997,34.9102898
פפר 18,עילי,פפר,32.0904335,34.8975869
אפרים כוכבי,עילי,לשעבר אדר במעלה,32.09679969,34.89881934
תפוצות ישראל 7,תת קרקעי,אורנים,32.0761898,34.9002377
רזיאל 10,עילי,מעון אמונה,32.0733728,34.8952574
הרב צעירי 15,עילי,גן עופר,32.071148,34.898322
כנסת ישראל 6,תת קרקעי,כנסת ישראל 6,32.074845,34.9023
עמוס 12 (גן חללי מינכן),תת קרקעי,עמוס 12 (גן חללי מינכן),32.0718123,34.9008631
החמישה 8,תת קרקעי,בית יעקב עיוני,32.0718791,34.8954526
הרב צעירי 11,תת קרקעי,"חט""ב שלום",32.071174,34.8975495
יונה 39 ליד מחלקת רווחה,עילי,יונה 39 ליד מחלקת רווחה,32.0699959,34.899641
הרב עוזיאל 16,עילי,אלונים,32.0913542,34.8992563
נחלת צבי 63,עיליי,גן ברבור,32.094614,34.892988
חיסין 6,תת קרקעי,חיסין 6,32.0913083,34.8979565
